DQN,PPO,A2C,A2C-MLP,A2C-SU
9.57,165.18,146.39,170.67,94.63
9.58,166.76,147.34,171.33,96.17
9.59,168.42,148.12,171.33,96.63
9.58,170.1,149.46,171.64,98.11
9.57,171.44,150.26,171.64,99.69
9.55,172.87,151.22,171.64,100.61
9.52,174.32,152.4,171.64,101.52
9.52,175.63,153.31,172.08,102.77
9.49,176.91,153.87,172.08,103.93
9.49,177.84,154.81,172.08,105.12
9.48,179.23,155.52,172.08,106.43
9.45,180.46,156.27,172.25,107.14
9.44,181.81,157.15,172.25,108.61
9.42,183.25,157.72,172.62,108.7
9.42,184.7,158.04,172.62,108.97
9.41,186.17,158.94,173.36,110.48
9.42,187.7,159.67,174.11,111.69
9.41,188.8,160.46,174.52,112.46
9.41,189.95,161.11,175.29,113.56
9.42,191.49,161.66,175.29,115.02
9.41,193.01,162.34,176.04,115.14
9.41,194.16,163.05,176.04,115.99
9.4,195.37,163.82,176.82,117.35
9.4,196.69,164.66,177.59,118.75
9.39,197.91,165.52,177.59,119.4
9.38,198.72,166.13,177.59,119.97
9.37,199.59,166.13,178.44,120.57
9.37,199.59,166.61,178.44,122.11
9.37,199.59,167.13,178.44,122.28
9.35,199.59,167.68,178.44,123.56
9.37,199.59,168.5,178.84,124.6
9.37,199.59,169.2,178.84,124.73
9.39,199.59,170.03,179.59,125.98
9.39,199.59,170.83,180.59,127.17
9.38,199.59,171.65,181.51,128.59
9.39,199.59,172.07,182.17,129.99
9.39,199.66,172.07,182.17,131.12
9.39,199.66,172.81,182.17,132.66
9.39,200,173.68,182.9,133.94
9.4,200,174.57,183.41,135.44
9.4,200,175.34,183.41,136.88
9.41,200,176.24,184.37,138.36
9.41,200,176.24,184.66,139.7
9.42,200,176.81,185.75,141.28
9.42,200,177.19,185.75,142.66
9.43,200,177.89,186.12,143.92
9.42,200,178.81,186.12,145.32
9.45,200,179.26,186.12,146.87
9.43,200,180.15,186.12,148.41
9.44,200,180.85,186.41,149.85
9.44,200,181.18,186.41,151.21
9.45,200,182.01,186.41,152.67
9.46,200,182.86,186.41,154.22
9.46,200,184.03,186.41,155.54
9.46,200,185.29,186.41,156.88
9.46,200,186.24,187.02,158.25
9.46,200,187.63,187.02,159.45
9.46,200,188.73,187.02,160.99
9.47,200,189.84,187.02,162.58
9.45,200,190.64,187.02,164.2
9.47,200,191.97,187.99,165.7
9.48,200,192.89,189.08,167.3
9.48,200,193.87,189.08,168.84
9.49,200,194.73,189.08,170.42
9.49,200,195.52,189.08,171.83
9.48,200,195.84,189.08,173.33
9.46,200,196.73,190.04,174.77
9.47,200,196.73,190.04,176.27
9.47,200,197.15,190.9,177.77
9.49,200,197.44,190.9,179.34
9.5,200,197.44,190.9,180.85
9.5,200,197.45,190.9,182.25
9.51,200,197.57,190.9,183.59
9.51,200,197.57,190.9,184.95
9.49,200,197.57,190.9,186.05
9.49,200,197.57,190.9,187.47
9.47,200,197.57,190.9,188.77
9.45,200,197.57,191.84,189.96
9.45,200,197.57,192.91,191.07
9.44,200,197.57,192.91,192.35
9.43,200,197.57,193.94,193.31
9.44,200,197.57,193.94,194.19
9.44,200,197.57,193.94,194.82
9.45,200,197.57,194.8,195.22
9.45,200,197.57,194.8,195.22
9.46,200,197.57,195.38,195.22
9.46,200,197.57,196.07,195.22
9.47,200,197.57,196.89,195.22
9.47,200,197.57,196.89,195.22
9.47,200,197.57,196.89,196.46
9.46,200,197.57,196.89,196.69
9.46,200,197.57,197.7,197.71
9.45,200,197.57,198.43,197.71
9.47,200,197.57,198.43,197.71
9.47,200,197.57,199.19,198.46
9.46,200,197.57,199.19,198.46
9.47,200,197.57,199.09,199.45
9.46,200,197.57,199.09,199.45
9.45,200,197.57,199.85,199.5
9.45,200,197.57,199.6,199.5
9.44,200,197.57,199.33,199.5
9.44,200,197.57,199.3,199.67
9.44,200,197.57,198.97,199.67
9.44,200,197.57,198.97,199.78
9.46,200,197.57,198.51,199.78
9.47,200,197.57,198.11,199.78
9.47,200,197.57,197.75,199.78
9.45,200,197.57,197.54,200
9.45,200,197.57,197.43,200
9.45,200,197.57,197.01,200
9.46,200,197.57,196.76,200
9.45,200,197.57,196.68,200
9.44,200,197.57,196.68,200
9.43,200,197.57,196.38,200
9.43,200,197.95,195.98,200
9.43,200,197.95,195.98,200
9.43,200,197.95,195.98,200
9.45,200,197.95,195.51,200
9.44,200,197.95,195.09,200
9.43,200,197.95,195.09,200
9.43,200,197.95,194.91,200
9.42,200,197.95,194.91,200
9.42,,197.95,194.91,200
9.42,,197.95,194.91,200
9.42,,197.95,194.91,200
9.42,,197.95,194.91,200
9.42,,197.95,194.76,200
9.43,,197.95,194.76,200
9.42,,197.95,194.74,200
9.43,,197.95,194.71,200
9.42,,197.95,194.71,200
9.42,,197.95,194.71,200
9.42,,197.95,194.58,200
9.43,,197.95,194.58,200
9.44,,197.95,194.58,200
9.44,,197.95,194.58,200
9.42,,197.95,194.58,200
9.43,,197.95,194.58,200
9.43,,197.95,194.58,200
9.42,,197.95,194.58,200
9.41,,197.95,194.58,200
9.4,,197.95,194.58,200
9.39,,197.95,194.58,200
9.38,,197.95,194.58,200
9.37,,198.45,194.58,200
9.37,,198.53,194.58,200
9.37,,198.53,194.58,200
9.35,,198.93,194.58,200
9.37,,198.93,194.58,200
9.36,,199.18,194.58,200
9.36,,199.58,194.58,200
9.35,,199.58,194.58,200
9.35,,200,194.58,200
9.36,,200,194.58,200
9.37,,200,194.58,200
9.36,,200,194.58,200
9.35,,200,194.58,200
9.35,,200,194.58,200
9.34,,200,194.58,200
9.34,,200,194.58,200
9.32,,200,194.58,200
9.32,,200,194.58,200
9.3,,200,194.58,200
9.29,,200,194.58,200
9.29,,,194.58,200
9.31,,,194.58,200
9.3,,,194.58,200
9.29,,,194.58,200
