Experiment 1,Experiment 2,Experiment 3,Experiment 4
-350.0275597,121.4526316,-415.2037711,-1049.091914
-347.7829058,122.2708333,-414.8126841,-1045.653753
-351.6028479,123.0721649,-414.1997803,-1042.420172
-354.7580042,123.8571429,-415.957018,-1042.706014
-356.013109,124.6262626,-418.9298503,-1036.760956
-354.3507045,125.38,-421.7270595,-1034.264209
-354.3080918,127.29,-424.7413537,-1035.611771
-355.3038916,129.2,-428.1470811,-1040.902501
-358.3144403,130.83,-428.0133016,-1040.57323
-357.4218596,131.73,-425.9868483,-1047.373132
-359.7269752,133.14,-424.1093841,-1054.035632
-360.6247144,134.34,-422.046157,-1057.201495
-360.2960334,135.49,-423.870116,-1056.735605
-364.3300637,135.49,-424.0911823,-1068.238902
-365.4451853,136.48,-418.9282767,-1111.750337
-369.2682321,137.82,-419.1955618,-1157.671026
-369.123837,139.26,-420.6536398,-1237.438303
-368.0468281,140.78,-422.0384515,-1262.849494
-371.0334249,142.11,-423.2126724,-1275.40299
-370.8819301,142.94,-426.3278568,-1305.336246
-370.362205,144.62,-428.5965975,-1342.880403
-370.2941042,146.35,-431.1475188,-1382.962107
-369.7687372,148.12,-438.6224691,-1390.057489
-369.5166703,149.77,-445.9095544,-1408.566327
-372.2098375,151.48,-453.5197479,-1410.441656
-372.9583672,153.25,-456.9511003,-1427.143671
-373.0643142,155.05,-460.8968377,-1446.36648
-372.2108219,156.82,-462.4404829,-1479.002596
-375.9196137,158.59,-463.8710508,-1493.464713
-379.7701758,160.37,-464.0832355,-1500.398115
-382.9337307,162.04,-464.8435803,-1506.693083
-385.1702243,163.68,-466.742904,-1514.028248
-387.4862697,165.18,-469.7055438,-1522.102634
-389.7711273,166.76,-472.9747123,-1526.102801
-389.2505599,168.42,-474.3414833,-1532.492372
-392.4525095,170.1,-474.0023267,-1542.183335
-392.5612704,171.44,-473.8981376,-1554.601458
-392.8860731,172.87,-473.322832,-1576.603952
-391.430462,174.32,-468.815159,-1650.537819
-393.7945879,175.63,-469.1003164,-1748.720666
-394.9932171,176.91,-467.267124,-1821.518364
-394.9699981,177.84,-464.8898451,-1835.636479
-395.0783776,179.23,-466.0395296,-1848.148043
-393.5654285,180.46,-469.3841467,-1858.952904
-392.8048983,181.81,-459.0173618,-1874.882252
-393.3002283,183.25,-454.4253776,-1890.559751
-392.9516742,184.7,-453.6659446,-1894.570044
-397.1732071,186.17,-454.9605385,-1900.241161
-400.6182376,187.7,-457.96071,-1898.96535
-405.0853246,188.8,-460.248172,-1904.003057
-409.8022174,189.95,-461.2419618,-1912.780364
-410.203442,191.49,-454.1746062,-1918.784911
-410.8271766,193.01,-451.0527588,-1912.471421
-411.8398981,194.16,-435.3914267,-1909.822311
-410.4531502,195.37,-434.8100386,-1913.501857
-415.7606288,196.69,-426.5808416,-1912.662588
-416.7940098,197.91,-428.2496521,-1918.676641
-416.9759557,198.72,-427.9437469,-1917.179429
-417.1226014,199.59,-422.3899857,-1916.261636
-413.6436599,199.59,-418.7838235,-1911.667101
-417.2253206,199.59,-415.1289556,-1916.810897
-416.9577104,199.59,-412.1168674,-1919.514098
-419.889672,199.59,-410.6141622,-1914.690277
-420.0406468,199.59,-410.3486524,-1917.852737
-419.0353951,199.59,-407.6876608,-1922.083698
-416.7231856,199.59,-403.5065866,-1925.710026
-411.1620112,199.59,-401.8166358,-1928.858682
-407.6148415,199.59,-400.7858583,-1936.193261
-405.950943,199.66,-399.6129729,-1942.691231
-404.9396142,199.66,-397.2183568,-1955.051555
-402.5332161,200,-394.223116,-1965.088183
-390.1936692,200,-392.7790862,-1968.368613
-377.1566008,200,-390.0546227,-1971.476941
-370.7672141,200,-387.6343375,-1953.533556
-362.8697786,200,-387.1804712,-1956.600851
-360.4126344,200,-386.2684959,-1944.811488
-362.08592,200,-385.695062,-1928.732036
-361.6414836,200,-383.1010279,-1917.741172
-357.9231745,200,-381.5514551,-1903.533284
-352.5951147,200,-380.8128642,-1893.97294
-333.6887838,200,-380.6268456,-1889.848574
-333.7818251,200,-381.6809426,-1878.994013
-324.1958044,200,-382.3436454,-1864.07239
-317.8414208,200,-385.1530121,-1837.108135
-308.9919196,200,-388.6834178,-1809.123049
-305.596992,200,-388.0197562,-1771.722282
-304.265199,200,-387.7329323,-1741.250309
-290.9183035,200,-386.0608944,-1729.789173
-286.524517,200,-383.9924771,-1709.204372
-283.7697804,200,-382.4880142,-1688.528555
-280.3284167,200,-381.9271154,-1685.790914
-275.5327244,200,-382.1623696,-1683.708111
-276.5309996,200,-373.6725312,-1683.65508
-267.4080552,200,-361.5394255,-1678.004502
-266.4415234,200,-354.0387938,-1648.746182
-265.7692708,200,-346.7046444,-1630.250788
-267.1385391,200,-341.988694,-1598.826628
-265.3494522,200,-339.4100202,-1580.89915
-266.6593391,200,-338.6541419,-1583.111845
-260.4693667,200,-337.4820449,-1580.503912
-255.9448322,200,-336.4087065,-1581.561798
-255.298903,200,-334.5661511,-1584.997948
-248.9540455,200,-332.3850241,-1586.810791
-245.431612,200,-327.7476645,-1584.244229
-243.2817869,200,-321.8909136,-1588.758544
-242.0895123,200,-316.2007525,-1589.622609
-238.939431,200,-310.325266,-1594.196322
-234.825257,200,-304.034978,-1597.667494
-233.8415695,200,-299.6042923,-1600.862482
-233.5356786,200,-298.5286252,-1599.2064
-232.4927313,200,-298.5841849,-1598.497879
-234.8440156,200,-298.3802865,-1603.737879
-235.4518887,200,-298.0610305,-1611.091494
-232.6861619,200,-297.0996674,-1603.607163
-232.9963465,200,-295.9743745,-1563.724048
-229.3257207,200,-294.3893123,-1516.655988
-230.1299827,200,-291.0964012,-1437.841445
-232.777332,200,-288.146713,-1408.027575
-232.0745005,200,-286.0850143,-1389.996611
-233.6219341,200,-284.4661195,-1357.933137
-234.1627199,200,-282.8681364,-1320.107082
-234.3172932,200,-280.0517769,-1282.153443
-235.0624879,200,-275.9541653,-1275.593296
-239.9939445,200,-268.7538565,-1258.973358
-237.8208983,200,-262.87005,-1257.36151
-239.7389402,200,-258.2950551,-1241.096151
-239.6559651,200,-254.1234462,-1221.921103
-241.3496263,200,-251.6018847,-1190.150896
-238.1475048,200,-249.3091287,-1176.305053
-236.1340553,200,-247.267923,-1170.162875
-233.4180632,200,-244.2868607,-1165.371109
-231.5786684,200,-240.8024598,-1158.121639
-230.4317885,200,-235.8591747,-1148.738423
-229.3788083,200,-230.1001285,-1142.216818
-231.0280823,200,-225.8794081,-1133.189176
-229.965206,200,-222.1581981,-1119.52502
-231.0248343,200,-219.51011,-1101.335985
-234.118244,200,-217.3377189,-1075.90915
-237.6084625,200,-215.9370543,-997.9779202
-234.6178236,200,-213.491891,-895.2241429
-234.4289048,200,-211.4676162,-819.6457838
-236.1754365,200,-209.3040537,-805.3889292
-237.9911506,200,-206.3728233,-792.4477796
-242.0427769,200,-201.6780517,-782.7154598
-244.1478537,200,-195.8229551,-767.3720015
-246.4089331,200,-191.7883425,-755.04036
-247.9596984,200,-187.5111616,-746.8950876
-246.9277781,200,-183.3003398,-739.1064041
-244.4789717,200,-179.0554778,-732.8179331
-241.9916767,200,-175.7846538,-722.4257603
-237.9434512,200,-172.8252367,-709.5544248
-238.8825899,200,-170.0697031,-695.6978606
-238.3693218,200,-167.2223557,-681.3640504
-235.2009404,200,-165.7242885,-675.2586138
-238.1763532,,-163.7147973,-665.1581142
-234.4798099,,-162.0015171,-654.7803441
-235.9011741,,-159.622336,-647.7150793
-236.7780989,,-156.624432,-638.7777823
-237.2212811,,-154.8212492,-633.3523703
-237.4837362,,-153.6385347,-627.9847517
-236.8203975,,-153.2402828,-619.1885189
-237.999899,,-152.5138593,-613.1030948
-239.3741251,,-151.0968417,-608.6041097
-241.4258706,,-149.4021015,-602.4936652
-239.9900302,,-148.544107,-596.4020912
-239.0024029,,-148.2954482,-587.7254299
-240.7386871,,-146.9314295,-577.584908
-241.551327,,-146.2082261,-566.940693
-243.3310811,,-144.7936839,-554.1604321
