Experiment 1,Experiment 2,Experiment 3,Experiment 4
-314.011551,9.42,-229.0280234,-629.0134357
-312.5038647,9.42,-225.2758414,-630.3009237
-306.5215672,9.41,-220.3146134,-629.25885
-300.4862041,9.42,-218.2976234,-626.3588821
-293.4901172,9.41,-216.1391779,-623.7619574
-287.0310651,9.41,-213.0137862,-620.4208408
-281.251923,9.42,-211.2212477,-616.5174965
-277.3718358,9.41,-207.3685448,-618.6408726
-273.5912456,9.41,-206.9136186,-616.9294632
-266.6037051,9.4,-201.6363771,-614.5630571
-260.407713,9.4,-197.0798399,-619.3574041
-258.6653335,9.39,-195.499305,-622.7240644
-254.174518,9.38,-195.7672562,-619.3379498
-253.1398271,9.37,-193.5840422,-616.4934322
-250.8887859,9.37,-190.8299717,-612.9961751
-246.2717076,9.37,-190.1163192,-609.833666
-245.2919581,9.35,-185.2507873,-606.0717642
-245.8885349,9.37,-185.645312,-601.4024632
-247.5759293,9.37,-183.8056547,-598.8044433
-244.3877385,9.39,-184.4276385,-599.6578474
-241.5367301,9.39,-184.8383631,-597.2735648
-238.7792426,9.38,-183.8816938,-594.943208
-236.0493119,9.39,-180.3032378,-595.1577229
-233.8008252,9.39,-180.3367049,-591.5223981
-234.4893167,9.39,-180.0921473,-585.2926848
-232.1813865,9.39,-177.9912805,-580.7718769
-229.7982212,9.4,-178.4605528,-574.0910975
-227.4609488,9.4,-177.0364052,-574.6596034
-224.4400169,9.41,-175.4945078,-569.28879
-219.7740275,9.41,-173.1602202,-560.3345272
-218.3619251,9.42,-171.3708289,-552.7732554
-214.7014259,9.42,-168.3750012,-549.2127835
-212.4084706,9.43,-166.2775064,-546.7717895
-209.8139558,9.42,-166.0680746,-540.6626795
-212.7822494,9.45,-163.3019677,-534.6068025
-214.9305137,9.43,-159.8547804,-528.6203043
-216.9999946,9.44,-156.6865635,-522.1631709
-217.6230819,9.44,-156.5340028,-514.6550372
-215.1943221,9.45,-153.3241381,-506.9323746
-212.7724101,9.46,-154.0603717,-499.8386468
-212.3326315,9.46,-152.3254608,-494.4436339
-213.597166,9.46,-151.8552848,-490.2048209
-215.4516135,9.46,-151.911817,-488.0827893
-215.6101094,9.46,-152.2388713,-479.241592
-219.993883,9.46,-152.7133876,-472.2886791
-219.8215279,9.47,-146.6553365,-470.0531952
-221.0989049,9.45,-142.7573689,-466.9973215
-221.7533997,9.47,-143.8269129,-460.2550905
-222.3958294,9.48,-143.2272906,-460.6634213
-223.6616089,9.48,-141.9040159,-455.3684876
-221.4785014,9.49,-142.5665138,-448.0328867
-220.4004934,9.49,-143.6726904,-442.0945694
