Experiment 1,Experiment 2,Experiment 3,Experiment 4
-270.0462717,104.2555556,-400.7885088,-674.499686
-272.0644423,104.4395604,-400.6134312,-672.5988113
-271.1455183,105.1304348,-400.9096468,-671.4785427
-272.5698237,105.1935484,-399.1835489,-673.5094522
-272.2518794,106.2021277,-402.4917489,-675.7060304
-275.9656706,106.7473684,-413.3834691,-671.6742159
-276.6085005,107.4166667,-421.957322,-668.0681893
-275.8582734,108.371134,-425.3089253,-667.1295936
-277.5412289,109.2959184,-428.5341342,-678.7333658
-280.3964658,110.0909091,-427.8214287,-678.0131851
-279.2577754,110.99,-432.4388503,-676.1453791
-274.8850947,112.86,-446.7595231,-681.2915374
-276.6537773,114.76,-446.6427433,-684.3803202
-273.3332046,116.66,-444.9862185,-693.521498
-277.8903028,118.57,-448.1365525,-703.5262971
-279.2454154,120.49,-449.2878066,-703.9834121
-281.7705519,122.4,-463.6654139,-707.2089851
-283.1664934,124.31,-462.6762785,-716.2853581
-285.1297605,126.22,-457.9148688,-721.2195113
-286.5641431,128.13,-460.1711408,-724.9381444
-287.95278,129.79,-466.3697113,-728.572259
-288.337605,131.4,-472.0345718,-736.0200373
-286.3935039,133.08,-469.0634316,-739.83517
-287.0276095,134.53,-471.7677936,-741.6983992
-287.5571188,135.96,-484.4750579,-746.9552431
-287.9227543,137.58,-508.1986684,-749.3222995
-284.077136,138.79,-508.2678904,-752.139646
-281.4843525,138.79,-509.4049322,-752.9709347
-270.5464851,139.78,-504.2411564,-753.5440952
-265.2953022,141.06,-513.0909343,-752.4563734
-263.5823612,142.16,-517.1692689,-751.5358029
-261.880319,142.96,-523.2648603,-750.928231
-257.6805188,144.4,-527.9075293,-751.1574037
-255.5429652,144.91,-549.9928528,-752.1402894
-256.600702,145.58,-561.1632102,-764.7347244
-259.0636308,145.58,-569.3699414,-766.0577275
-261.0975933,145.58,-572.2315964,-768.0533534
-263.0535449,146.39,-581.3061456,-770.1841995
-267.0836025,147.34,-586.7029939,-774.2257846
-267.5545062,148.12,-592.8510657,-779.2024231
-269.8510083,149.46,-602.6696619,-784.1399322
-274.5278778,150.26,-616.2244403,-790.0080647
-274.8128331,151.22,-621.425793,-793.1497393
-276.23482,152.4,-623.0839644,-798.9414992
-278.7561132,153.31,-626.6519165,-805.949773
-280.471354,153.87,-639.2272689,-808.1511801
-280.6158505,154.81,-645.152805,-818.3917215
-275.2767102,155.52,-680.9353611,-823.5142197
-265.7360916,156.27,-689.2091464,-840.5567875
-264.9018863,157.15,-695.3932546,-849.4370131
-268.3539207,157.72,-699.2260818,-858.1076958
-268.2155892,158.04,-702.5946659,-863.3697543
-265.5391688,158.94,-703.2562125,-863.1396886
-266.7368783,159.67,-716.039817,-864.9884175
-269.893203,160.46,-728.525087,-876.2598027
-271.3431529,161.11,-733.0415861,-869.3706145
-273.369458,161.66,-736.7760185,-864.5613494
-276.2314394,162.34,-738.3869006,-869.4137586
-278.505063,163.05,-742.1397823,-852.4708216
-279.5763509,163.82,-743.6776641,-855.3642517
-282.5017903,164.66,-753.6840346,-854.7980423
-285.0297237,165.52,-756.2472959,-848.5034207
-287.5585171,166.13,-762.7095122,-831.8373088
-293.3115395,166.13,-766.2723463,-824.7491458
