Experiment 1,Experiment 2,Experiment 3,Experiment 4
-1025.450646,200,-1184.862281,-1143.178512
-1024.922893,200,-1203.646349,-1154.409896
-1025.554466,200,-1203.992413,-1160.191362
-985.843633,200,-1226.105078,-1162.405202
-984.2560592,200,-1235.151803,-1156.321975
-982.412138,200,-1259.580013,-1157.998264
-979.0719717,200,-1258.490778,-1152.988862
-974.027107,200,-1272.538247,-1151.112493
-979.7129137,200,-1286.112793,-1149.202687
-978.310305,200,-1283.039615,-1125.808062
-989.2140635,200,-1283.743349,-1121.588686
-996.7836037,200,-1299.710237,-1121.177448
-1002.473103,200,-1315.370127,-1107.313714
-1019.774139,200,-1314.026756,-1103.416408
-1014.837658,200,-1314.33223,-1102.1617
-1022.205213,200,-1313.8733,-1098.460798
-1022.953553,200,-1310.84513,-1154.118966
-1030.726018,200,-1306.770036,-1159.866469
-1069.785495,200,-1309.556783,-1160.938414
-1081.818914,200,-1304.490484,-1172.463883
-1088.450715,200,-1301.532361,-1169.381891
-1096.212656,200,-1308.518509,-1177.053642
-1104.088664,200,-1292.932065,-1176.162256
-1088.733408,200,-1279.010712,-1186.569585
-1102.254139,200,-1262.562534,-1182.67737
-1104.312086,200,-1250.711572,-1191.108696
-1106.963965,200,-1254.838426,-1186.476709
-1111.05465,200,-1237.377902,-1204.289682
-1139.007953,200,-1226.295581,-1198.372203
-1151.65411,200,-1228.601099,-1196.740647
-1155.095892,200,-1229.302186,-1201.270759
-1151.527874,200,-1220.632174,-1184.740846
-1154.907652,200,-1209.013317,-1189.051605
-1162.949086,200,-1190.966295,-1209.860508
-1159.688404,200,-1189.53071,-1210.923842
-1174.076678,200,-1179.875878,-1206.664236
-1173.517033,200,-1166.850347,-1204.244343
-1178.552274,200,-1155.815165,-1200.023444
-1174.092003,200,-1149.299232,-1195.413966
-1190.101781,200,-1135.795797,-1195.627516
-1230.183531,200,-1122.645125,-1185.400248
-1225.827382,200,-1113.498868,-1184.419198
-1238.380414,200,-1110.518491,-1185.050257
-1217.30859,200,-1103.435833,-1178.367531
-1214.848738,200,-1095.176276,-1183.213913
-1225.570951,200,-1076.743465,-1183.555011
-1223.102931,200,-1063.935528,-1181.653404
-1231.97094,200,-1060.398819,-1193.752565
-1242.846242,200,-1051.948857,-1190.085118
-1255.505379,200,-1048.776257,-1202.282661
-1280.012616,200,-1043.893421,-1204.776147
-1292.2456,200,-1041.723216,-1200.854366
-1306.312987,200,-1039.262728,-1210.101218
-1309.800429,200,-1034.092057,-1209.548979
-1306.551888,200,-1029.515519,-1211.903014
-1317.813201,200,-1028.948466,-1208.484343
-1319.247968,200,-1030.284538,-1207.193115
-1320.575653,,-1029.214535,-1204.432475
-1343.404446,,-1038.249569,-1196.469037
-1385.239065,,-1038.541161,-1195.303944
-1384.135068,,-1037.451001,-1203.938933
-1394.989741,,-1038.102969,-1221.822409
-1430.124567,,-1039.179415,-1225.582927
-1435.822748,,-1037.359314,-1231.084571
-1491.724658,,-1033.964744,-1242.120341
-1498.954524,,-1029.876365,-1264.670855
-1486.206099,,-1027.175345,-1289.430387
-1482.719854,,-1024.582749,-1272.963339
-1483.119336,,-1020.156757,-1298.068487
-1484.03004,,-1017.185537,-1314.511086
-1480.877801,,-1015.780717,-1316.883146
-1480.241915,,-1011.11056,-1315.133041
-1472.625167,,-1007.152421,-1337.622894
-1471.542509,,-1005.30304,-1375.313148
-1465.77249,,-997.8120714,-1390.003373
-1429.822392,,-988.8087005,-1371.282273
