Experiment 1,Experiment 2,Experiment 3,Experiment 4
-439.2074433,109.640625,-987.1030264,-460.9225569
-435.567049,109.3230769,-980.6411746,-465.3249506
-434.8806127,109.8030303,-977.0001526,-470.9975
-432.8907416,109.5671642,-969.7034196,-470.8926102
-433.71055,110.8970588,-965.6877595,-469.7940979
-431.911547,111.2463768,-962.1559355,-478.6629278
-432.3157889,111.4142857,-958.0502376,-484.1048983
-431.674873,112.6619718,-951.8893043,-485.167413
-429.8929623,112.6944444,-967.09029,-482.14311
-428.2745947,113.6164384,-972.3769997,-493.1034704
-428.0545122,113.7567568,-965.4797624,-491.7947046
-425.2568443,114.9066667,-960.7145375,-493.3369987
-424.0970534,114.6184211,-957.4997402,-505.4866459
-418.9816994,114.4025974,-973.011035,-507.4101446
-413.5314333,114.3205128,-967.6246178,-508.8822191
-409.4383794,114.0886076,-968.2283394,-508.8805621
-407.0086951,114.2375,-962.1321117,-507.3999678
-403.8543963,113.8518519,-960.7281661,-510.6543895
-402.8383112,114.7560976,-957.5751175,-512.427414
-404.5182532,115.2771084,-988.8837214,-511.2337994
-403.2301934,115.2380952,-987.0584596,-515.7504863
-399.4540095,116.2,-988.3532237,-519.5862603
-397.2456616,116.0116279,-989.9589397,-516.8408782
-400.837071,115.9655172,-991.2193349,-521.7849969
-412.2997192,115.8181818,-991.405397,-526.6809389
-426.8246748,116.7640449,-983.1909712,-524.746984
-442.6315533,116.5555556,-976.0383465,-521.7216441
-439.8708315,117.4065934,-975.7270493,-522.1886707
-437.1776526,117.4891304,-984.733269,-545.5813056
-461.6862743,117.7419355,-980.6763035,-548.8127449
-496.3272933,118.6170213,-981.1138177,-551.6533969
-551.5383686,118.3578947,-985.9301597,-558.3884826
-627.4565128,118.5104167,-988.8795054,-558.3893588
-657.6915514,119.3505155,-987.4901375,-559.9080449
-654.0806289,119.4693878,-985.344612,-565.2894517
-664.7208134,120.2828283,-999.2114641,-569.349261
-675.0124321,121.08,-997.9008766,-568.1647284
-684.3047541,122.99,-1002.247608,-571.7829608
-661.0462785,124.9,-972.5686396,-574.4081883
-668.0630044,126.4,-989.1345806,-575.4673483
-674.1824285,128.32,-994.6401003,-579.3873149
-681.201759,129.95,-993.0817226,-579.9006895
-689.0354133,131.66,-994.4009364,-580.6075627
-701.6795515,133.2,-1016.000495,-579.7924144
-713.5508231,134.71,-1019.414686,-582.949118
-718.676205,135.99,-1014.022628,-586.0648272
-719.7152182,137.12,-1019.680111,-588.278604
-734.3576525,138.28,-1016.924189,-589.1041752
-739.4731244,139.62,-1015.110952,-590.0287702
-749.1940434,140.64,-1017.827455,-589.6207706
-762.9719683,141.4,-1017.624245,-589.2550723
-777.2968574,142.07,-992.3486957,-591.4728313
